Date,Plug-In Hybrid Electric Vehicle (PHEV) Count,Battery Electric Vehicle (BEV) Count,Electric Vehicle (EV) Total
January 31 2017,7688,14741,22429
February 28 2017,7889,15209,23098
March 31 2017,8093,15599,23692
April 30 2017,8287,16108,24395
May 31 2017,8497,16573,25070
June 30 2017,8751,16991,25742
July 31 2017,8931,17384,26315
August 31 2017,9147,17682,26829
September 30 2017,9374,18082,27456
October 31 2017,9649,18527,28176
November 30 2017,9888,18880,28768
December 31 2017,10120,19188,29308
January 31 2018,10534,19736,30270
February 28 2018,10833,19980,30813
March 31 2018,11180,20397,31577
April 30 2018,11514,20928,32442
May 31 2018,11933,21705,33638
June 30 2018,12356,22438,34794
July 31 2018,12649,22988,35637
August 31 2018,12963,23583,36546
September 30 2018,13292,24167,37459
October 31 2018,13640,25524,39164
November 30 2018,14020,26786,40806
December 31 2018,14343,27727,42070
January 31 2019,14725,29116,43841
February 28 2019,14890,29693,44583
March 31 2019,15037,30034,45071
April 30 2019,15292,31055,46347
May 31 2019,15557,31751,47308
June 30 2019,15806,32582,48388
July 31 2019,16069,33564,49633
August 31 2019,16273,34313,50586
September 30 2019,16505,35080,51585
October 31 2019,16785,36656,53441
November 30 2019,16957,37107,54064
December 31 2019,17128,37760,54888
January 31 2020,17351,39790,57141
February 29 2020,17463,40272,57735
March 31 2020,17604,41005,58609
April 30 2020,17563,41355,58918
May 31 2020,17577,41351,58928
June 30 2020,17677,41614,59291
July 31 2020,17813,43015,60828
August 31 2020,17960,43612,61572
September 30 2020,18171,44182,62353
October 31 2020,18426,45199,63625
November 30 2020,18600,46558,65158
December 31 2020,18890,47355,66245
January 31 2021,19222,48922,68144
February 28 2021,19510,49790,69300
March 31 2021,19867,50613,70480
April 30 2021,20322,52476,72798
May 31 2021,20723,53720,74443
June 30 2021,21311,54837,76148
July 31 2021,21713,56885,78598
August 31 2021,22128,58406,80534
September 30 2021,22455,59605,82060
October 31 2021,22867,61327,84194
November 30 2021,23277,62962,86239
December 31 2021,23555,64465,88020
January 31 2022,23890,66057,89947
February 28 2022,24194,67654,91848
March 31 2022,24648,69252,93900
April 30 2022,25006,71652,96658
May 31 2022,25472,73037,98509
June 30 2022,25983,74719,100702
July 31 2022,26288,77171,103459
August 31 2022,26740,79478,106218
September 30 2022,27073,80943,108016
October 31 2022,27422,84205,111627
November 30 2022,27765,87492,115257
December 31 2022,28184,89841,118025
January 31 2023,28713,93113,121826
February 28 2023,29262,95560,124822
March 31 2023,29939,98149,128088
April 30 2023,30867,101533,132400
May 31 2023,31684,105103,136787
June 30 2023,32578,108847,141425
July 31 2023,33241,112579,145820
August 31 2023,34181,118261,152442
September 30 2023,35105,121978,157083
October 31 2023,35987,126365,162352
November 30 2023,36744,129779,166523
December 31 2023,37493,133553,171046
January 31 2024,38689,138155,176844
February 29 2024,39528,141959,181487
March 31 2024,40355,144636,184991
April 30 2024,41314,148403,189717
May 31 2024,42037,151858,193895
June 30 2024,42639,154118,196757
July 31 2024,43531,158525,202056
August 31 2024,44231,162977,207208
September 30 2024,44611,165554,210165
